drug_id,drug,target
1,CC(C)NCC(O)COC1:C:C:C:C2:C:C:C:C:C:1:2.[Cl],1
2,CC(C)(C)OC(=O)CCCC1:C:C:C(N(CCCl)CCCl):C:C:1,1
3,CC1COC2:C(N3CCN(C)CC3):C(F):C:C3:C(=O):C(C(=O)O):C:N1:C:2:3,1
4,CC(=O)NCCCOC1:C:C:C:C(CN2CCCCC2):C:1,1
5,CC1:O:N:C(C2:C:C:C:C:C:2Cl):C:1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,1
6,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSC4:N:N:N:N:4C)CS[C@H]23)C2:C:C:C(O):C:C:2)C(=O)C1=O,1
7,CN(C)[C@@H]1C(=O)/C(=C(/O)NCN2CCCC2)C(=O)[C@@]2(O)C(=O)C3=C(O)C4:C(O):C:C:C:C:4[C@@](C)(O)[C@H]3C[C@@H]12,1
8,CC1:N:C:C:N:1CC1CCC2:C(:C3:C:C:C:C:C:3:N:2C)C1=O,1
9,COC1:C:C:C([C@@H]2SC3:C:C:C:C:C:3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O):C:C:1,1
10,NC(N)=NC(=O)C1:N:C(Cl):C(N):N:C:1N,1
11,CN1CC2:C(C3:N:O:C(C(C)(O)CO):N:3):N:C:N:2C2:C:C:C:C(Cl):C:2C1=O,0
12,CC1:C:N([C@H]2C[C@H](F)[C@@H](CO)O2):C(=O):[NH]:C:1=O,1
13,ClCCl,1
14,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(CC1:C:C:C:C:C:1)NC(=O)C(CC(N)=O)NC(=O)C1:C:C:C2:C:C:C:C:C:2:N:1,1
15,CCC(=O)C(CC(C)N(C)C)(C1:C:C:C:C:C:1)C1:C:C:C:C:C:1,1
16,CCC(=O)N(C1:C:C:C:C:C:1)C1(COC)CCN(CCN2:N:N:N(CC):C:2=O)CC1,1
17,CN(C)C(=O)C(CCN1CCC(O)(C2:C:C:C(Cl):C:C:2)CC1)(C1:C:C:C:C:C:1)C1:C:C:C:C:C:1,1
18,CN1C2CCC1CC(OC(=O)[C@H](CO)C1:C:C:C:C:C:1)C2,1
19,COC1:C:C:C(Cl):C:C:1C(=O)NCCC1:C:C:C(S(=O)(=O)NC(=O)NC2CCCCC2):C:C:1,1
20,NC1:N:N:C(C2:C:C:C:C(Cl):C:2Cl):C(N):N:1,1
21,CCCC(C)C,1
22,C[C@H](N)CC1:C:C:C:C:C:1,1
23,CN(C)CC1:C:C:C(CSCCNC2:N:C(=O):C(CC3:C:C:C4:C:C:C:C:C:4:C:3):C:[NH]:2):O:1,0
24,CC(C)(C)NCC(O)COC1:C:C:C:C2:C:1C[C@H](O)[C@H](O)C2,1
25,CCC(=O)N(C1:C:C:C:C:C:1)C1(COC)CCN(CCC2:C:C:C:S:2)CC1,1
26,CCNC(=NC#N)NCCSCC1:N:C:C:C:C:1Br,0
27,CC1:C:C:C(C2:N:C3:C:C:C(C):C:N:3:C:2CC(=O)N(C)C):C:C:1,1
28,CN1CCN(C2=C3:C:C:C:C:C:3=NC3:C:C:C(Cl):C:C:3N2)CC1,1
29,FC(F)(F)C1:C:C:C(N2CCNCC2):N:C:1Cl,1
30,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H](C(=O)O)C(C)(C)S[C@H]23)C2:C:C:C:C:C:2)C(=O)C1=O.O,1
31,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,1
32,C[C@H]1COC2:C(N3CCN(C)CC3):C(F):C:C3:C(=O):C(C(=O)O):C:N1:C:2:3,1
33,O=C(NCCCOC1:C:C:C:C(CN2CCCCC2):C:1)C1:C:C:C:C:C:1,1
34,CN1CC2:C(C(=O)OC(C)(C)C):N:C:N:2C2:C:C:S:C:2C1=O,1
35,CCC(=O)N(C1:C:C:C:C:C:1)C1CCN(CCC2:C:C:C:C:C:2)CC1,1
36,CCOC(=O)C1:C:N:C:N:1C(C)C1:C:C:C:C:C:1,1
37,CN(C)C1:C:C(C2:N:C(N):N:[NH]:2):C:C:N:1,0
38,CN1CCN(CCCN2C3:C:C:C:C:C:3SC3:C:C:C(Cl):C:C:32)CC1,1
39,NC1:C:C:C(C2:N:C3:C:C:C(O):C:C:3:S:2):C:C:1I,1
40,CC(=O)NC1:C:C:C:C(C2:C:S:C(N=C(N)N):N:2):C:1,0
41,CN1[C@H]2CCC[C@@H]1CC(NC(=O)C1:N:N(C):C3:C:C:C:C:C:1:3)C2,1
42,CS(=O)(=O)C1:C:C:C([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl):C:C:1,1
43,NC(N)=NC1:N:C(C2:C:C:C:C:C:2):C:S:1,1
44,CC1:C:C:C:C(C):C:1OCC(C)N,1
45,CCC(=O)O[C@](CC1:C:C:C:C:C:1)(C1:C:C:C:C:C:1)[C@H](C)CN(C)C,1
46,CNCCCN1C2:C:C:C:C:C:2SC2:C:C:C(Cl):C:C:21,1
47,CN(C)CC1:C:C:C(C2:C:C:C:C(NC3N=CC=C3[N+](=O)[O-]):C:2):O:1,1
48,CN1:N:N:N:C:1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)C3:C:C:C:C:C:3)[C@H]2SC1,1
49,CN(C)CCC1:C:C:C:C:N:1,1
50,O=C1CCCN1CCCCN1CCN(C2:C:C(C(F)(F)F):C:C:N:2)CC1,1
51,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)C1:C:C:N:C2:C:C:C(OC):C:C:1:2,1
52,CCC1:C:C:C:C:C:1,1
53,NC(N)=NC1:N:C(C2:C:C:C:C(N):C:2):C:S:1,1
54,CC[C@]1(O)C[C@H]2CN(CCC3:C(:[NH]:C4:C:C:C:C:C:3:4)[C@@](C(=O)OC)(C3:C:C4:C(:C:C:3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,1
55,CCCC(=O)NC1:C:C:C(OCC(O)CNC(C)C):C(C(C)=O):C:1,1
56,NCCCN1C2:C:C:C:C:C:2SC2:C:C:C(Cl):C:C:21,1
57,CN(C)CC1:C:C:C(CSCCNC2:[NH]:C:C(CC3:C:C:C:C:C:3):C:2[N+](=O)[O-]):O:1,1
58,CNC(=NC#N)NC1:C:C:C:C(C2:C:S:C(N=C(N)N):N:2):C:1,0
59,CNCCC1:C:C:C:C:N:1,1
60,CN[C@H]1CC[C@@H](C2:C:C:C(Cl):C(Cl):C:2)C2:C:C:C:C:C:21.[Cl-].[H+],1
61,CC[C@]1(O)C[C@H]2CN(CCC3:C(:[NH]:C4:C:C:C:C:C:3:4)[C@@](C(=O)OC)(C3:C:C4:C(:C:C:3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,1
62,CCC(NC(=O)C1:C(C):C(C2:C:C:C:C:C:2):N:C2:C:C:C:C:C:1:2)C1:C:C:C:C:C:1,1
63,O=S(=O)(C1:C:C:C2:C:C:[NH]:C:2:C:1)N1CCCC1CCN1CCC(OC2:C:C:C:C(Cl):C:2)CC1,1
64,CN(C)CC1:C:C:N:C(C2:C:C:C:C(NC3N=CC=C3[N+](=O)[O-]):C:2):C:1,1
65,CNCCCC12CCC(C3:C:C:C:C:C:31)C1:C:C:C:C:C:12,1
66,C1:C:C(CN2CCCCC2):C:C(OCCCNC2:N:C:C:S:2):C:1,1
67,CN1CC2:C(C3:N:O:C(C(C)(C)O):N:3):N:C:N:2C2:C:C:C:C(Cl):C:2C1=O,0
68,CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@@H]12)C1:C:S:C(N):N:1.[Na+],1
69,NC(=O)N1C2:C:C:C:C:C:2C2OC2C2:C:C:C:C:C:21,1
70,C1CCCCC1,1
71,CC1:C:S:C(N=C(N)N):N:1,1
72,CCCN(CCC)CCC1:C:C:C(O):C2:C:1CC(=O)N2,1
73,CN1CC2C3:C:C:C:C:C:3OC3:C:C:C(Cl):C:C:3C2C1,1
74,CN(C)CC1:C:C:C(CSCCNC2N=CC=C2[N+](=O)[O-]):O:1,0
75,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)C1:C:C:C:O:1,1
76,C1:C:C(CN2CCCCC2):C:C(OCCCNC2:N:C3:C:C:C:C:C:3:O:2):C:1,1
77,CC1:C:C:C:C2:C:1OC1:C:C:C:C:C:1C1(O)CCN(C)CC21,1
78,O=[N+]([O-])C1=CC=NC1NCCSCC1:C:C:C:C:N:1,1
79,CCCSC1:C:C:C2:[NH]:C(NC(=O)OC):N:C:2:C:1,1
80,NCCC1:C:N2:C:C:C:C:C:2:N:1,0
81,CC1:N:C:C([N+](=O)[O-]):N:1CC(O)CCl,1
82,CCCN(CCC)CCC1:C:C:C:C2:C:1CC(=O)N2,1
83,ClC1:C:C:C2:C(:C:1)C1CNCC1C1:C:C:C:C:C:1O2,1
84,CN(C)CCC=C1C2:C:C:C:C:C:2CCC2:C:C:C:C:C:21,1
85,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSC3:N:C(=O):C(=O):[NH]:N:3C)CS[C@H]12)C1:C:S:C(N):N:1,1
86,C1:C:C:C(NCCCOC2:C:C:C:C(CN3CCCCC3):C:2):N:C:1,1
87,CC1:C:C:C:C2:C:1OC1:C:C:C:C:C:1C1(O)CCNCC21,1
88,O=[N+]([O-])C1=CC=NC1NCCSCC1:N:C:C:C:C:1Br,1
89,COC1:C:C2:C(:C(OC):C:1OC)C1:C:C:C(OC):C(=O):C:C:1C(NC(C)=O)CC2,1
90,OCCCOC1:C:C:C:C(CN2CCCCC2):C:1,1
91,CC1:N:C:S:C:1CCCl,1
92,CCN(CC)C(=O)NC1:C:C:C(OCC(O)CNC(C)(C)C):C(C(C)=O):C:1,1
93,FC(F)(F)CCl,1
94,CC(C)C1:N:C(C2:N:C:N3:C:2CN(C)C(=O)C2:C(Cl):C:C:C:C:23):N:O:1,1
95,CO[C@@]1(NC(=O)CC2:C:C:C:S:2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,1
96,C=CCC(N)C1:C:C:C:C:C:1C1:N:O:C2:C:C:C:C:C:1:2,1
97,CC1:N:C2:N(:C(=O):C:1CCN1CCC(C3:N:O:C4:C:C(F):C:C:C:3:4)CC1)CCCC2O,1
98,CC(=O)NC1:C:C:C(O):C:C:1,1
99,CC(=O)OC1:C:C:C:C:C:1C(=O)O,0
100,O=C1:N:C:N:C2:[NH]:[NH]:C:C:12,0
101,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,0
