drug,target
CC(C)NCC(O)COC1:C:C:C:C2:C:C:C:C:C:1:2.[Cl],1
CC(C)(C)OC(=O)CCCC1:C:C:C(N(CCCl)CCCl):C:C:1,1
CC1COC2:C(N3CCN(C)CC3):C(F):C:C3:C(=O):C(C(=O)O):C:N1:C:2:3,1
CC(=O)NCCCOC1:C:C:C:C(CN2CCCCC2):C:1,1
CC1:O:N:C(C2:C:C:C:C:C:2Cl):C:1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,1
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSC4:N:N:N:N:4C)CS[C@H]23)C2:C:C:C(O):C:C:2)C(=O)C1=O,1
CN(C)[C@@H]1C(=O)/C(=C(/O)NCN2CCCC2)C(=O)[C@@]2(O)C(=O)C3=C(O)C4:C(O):C:C:C:C:4[C@@](C)(O)[C@H]3C[C@@H]12,1
CC1:N:C:C:N:1CC1CCC2:C(:C3:C:C:C:C:C:3:N:2C)C1=O,1
COC1:C:C:C([C@@H]2SC3:C:C:C:C:C:3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O):C:C:1,1
NC(N)=NC(=O)C1:N:C(Cl):C(N):N:C:1N,1
CN1CC2:C(C3:N:O:C(C(C)(O)CO):N:3):N:C:N:2C2:C:C:C:C(Cl):C:2C1=O,0
CC1:C:N([C@H]2C[C@H](F)[C@@H](CO)O2):C(=O):[NH]:C:1=O,1
ClCCl,1
CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(CC1:C:C:C:C:C:1)NC(=O)C(CC(N)=O)NC(=O)C1:C:C:C2:C:C:C:C:C:2:N:1,1
CCC(=O)C(CC(C)N(C)C)(C1:C:C:C:C:C:1)C1:C:C:C:C:C:1,1
CCC(=O)N(C1:C:C:C:C:C:1)C1(COC)CCN(CCN2:N:N:N(CC):C:2=O)CC1,1
CN(C)C(=O)C(CCN1CCC(O)(C2:C:C:C(Cl):C:C:2)CC1)(C1:C:C:C:C:C:1)C1:C:C:C:C:C:1,1
CN1C2CCC1CC(OC(=O)[C@H](CO)C1:C:C:C:C:C:1)C2,1
COC1:C:C:C(Cl):C:C:1C(=O)NCCC1:C:C:C(S(=O)(=O)NC(=O)NC2CCCCC2):C:C:1,1
NC1:N:N:C(C2:C:C:C:C(Cl):C:2Cl):C(N):N:1,1
CCCC(C)C,1
C[C@H](N)CC1:C:C:C:C:C:1,1
CN(C)CC1:C:C:C(CSCCNC2:N:C(=O):C(CC3:C:C:C4:C:C:C:C:C:4:C:3):C:[NH]:2):O:1,0
CC(C)(C)NCC(O)COC1:C:C:C:C2:C:1C[C@H](O)[C@H](O)C2,1
CCC(=O)N(C1:C:C:C:C:C:1)C1(COC)CCN(CCC2:C:C:C:S:2)CC1,1
CCNC(=NC#N)NCCSCC1:N:C:C:C:C:1Br,0
CC1:C:C:C(C2:N:C3:C:C:C(C):C:N:3:C:2CC(=O)N(C)C):C:C:1,1
CN1CCN(C2=C3:C:C:C:C:C:3=NC3:C:C:C(Cl):C:C:3N2)CC1,1
FC(F)(F)C1:C:C:C(N2CCNCC2):N:C:1Cl,1
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H](C(=O)O)C(C)(C)S[C@H]23)C2:C:C:C:C:C:2)C(=O)C1=O.O,1
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,1
C[C@H]1COC2:C(N3CCN(C)CC3):C(F):C:C3:C(=O):C(C(=O)O):C:N1:C:2:3,1
O=C(NCCCOC1:C:C:C:C(CN2CCCCC2):C:1)C1:C:C:C:C:C:1,1
CN1CC2:C(C(=O)OC(C)(C)C):N:C:N:2C2:C:C:S:C:2C1=O,1
CCC(=O)N(C1:C:C:C:C:C:1)C1CCN(CCC2:C:C:C:C:C:2)CC1,1
CCOC(=O)C1:C:N:C:N:1C(C)C1:C:C:C:C:C:1,1
CN(C)C1:C:C(C2:N:C(N):N:[NH]:2):C:C:N:1,0
CN1CCN(CCCN2C3:C:C:C:C:C:3SC3:C:C:C(Cl):C:C:32)CC1,1
NC1:C:C:C(C2:N:C3:C:C:C(O):C:C:3:S:2):C:C:1I,1
CC(=O)NC1:C:C:C:C(C2:C:S:C(N=C(N)N):N:2):C:1,0
CN1[C@H]2CCC[C@@H]1CC(NC(=O)C1:N:N(C):C3:C:C:C:C:C:1:3)C2,1
CS(=O)(=O)C1:C:C:C([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl):C:C:1,1
NC(N)=NC1:N:C(C2:C:C:C:C:C:2):C:S:1,1
CC1:C:C:C:C(C):C:1OCC(C)N,1
CCC(=O)O[C@](CC1:C:C:C:C:C:1)(C1:C:C:C:C:C:1)[C@H](C)CN(C)C,1
CNCCCN1C2:C:C:C:C:C:2SC2:C:C:C(Cl):C:C:21,1
CN(C)CC1:C:C:C(C2:C:C:C:C(NC3N=CC=C3[N+](=O)[O-]):C:2):O:1,1
CN1:N:N:N:C:1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)C3:C:C:C:C:C:3)[C@H]2SC1,1
CN(C)CCC1:C:C:C:C:N:1,1
O=C1CCCN1CCCCN1CCN(C2:C:C(C(F)(F)F):C:C:N:2)CC1,1
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)C1:C:C:N:C2:C:C:C(OC):C:C:1:2,1
CCC1:C:C:C:C:C:1,1
NC(N)=NC1:N:C(C2:C:C:C:C(N):C:2):C:S:1,1
CC[C@]1(O)C[C@H]2CN(CCC3:C(:[NH]:C4:C:C:C:C:C:3:4)[C@@](C(=O)OC)(C3:C:C4:C(:C:C:3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,1
CCCC(=O)NC1:C:C:C(OCC(O)CNC(C)C):C(C(C)=O):C:1,1
NCCCN1C2:C:C:C:C:C:2SC2:C:C:C(Cl):C:C:21,1
CN(C)CC1:C:C:C(CSCCNC2:[NH]:C:C(CC3:C:C:C:C:C:3):C:2[N+](=O)[O-]):O:1,1
CNC(=NC#N)NC1:C:C:C:C(C2:C:S:C(N=C(N)N):N:2):C:1,0
CNCCC1:C:C:C:C:N:1,1
CN[C@H]1CC[C@@H](C2:C:C:C(Cl):C(Cl):C:2)C2:C:C:C:C:C:21.[Cl-].[H+],1
CC[C@]1(O)C[C@H]2CN(CCC3:C(:[NH]:C4:C:C:C:C:C:3:4)[C@@](C(=O)OC)(C3:C:C4:C(:C:C:3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,1
CCC(NC(=O)C1:C(C):C(C2:C:C:C:C:C:2):N:C2:C:C:C:C:C:1:2)C1:C:C:C:C:C:1,1
O=S(=O)(C1:C:C:C2:C:C:[NH]:C:2:C:1)N1CCCC1CCN1CCC(OC2:C:C:C:C(Cl):C:2)CC1,1
CN(C)CC1:C:C:N:C(C2:C:C:C:C(NC3N=CC=C3[N+](=O)[O-]):C:2):C:1,1
CNCCCC12CCC(C3:C:C:C:C:C:31)C1:C:C:C:C:C:12,1
C1:C:C(CN2CCCCC2):C:C(OCCCNC2:N:C:C:S:2):C:1,1
CN1CC2:C(C3:N:O:C(C(C)(C)O):N:3):N:C:N:2C2:C:C:C:C(Cl):C:2C1=O,0
CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@@H]12)C1:C:S:C(N):N:1.[Na+],1
NC(=O)N1C2:C:C:C:C:C:2C2OC2C2:C:C:C:C:C:21,1
C1CCCCC1,1
CC1:C:S:C(N=C(N)N):N:1,1
CCCN(CCC)CCC1:C:C:C(O):C2:C:1CC(=O)N2,1
CN1CC2C3:C:C:C:C:C:3OC3:C:C:C(Cl):C:C:3C2C1,1
CN(C)CC1:C:C:C(CSCCNC2N=CC=C2[N+](=O)[O-]):O:1,0
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)C1:C:C:C:O:1,1
C1:C:C(CN2CCCCC2):C:C(OCCCNC2:N:C3:C:C:C:C:C:3:O:2):C:1,1
CC1:C:C:C:C2:C:1OC1:C:C:C:C:C:1C1(O)CCN(C)CC21,1
O=[N+]([O-])C1=CC=NC1NCCSCC1:C:C:C:C:N:1,1
CCCSC1:C:C:C2:[NH]:C(NC(=O)OC):N:C:2:C:1,1
NCCC1:C:N2:C:C:C:C:C:2:N:1,0
CC1:N:C:C([N+](=O)[O-]):N:1CC(O)CCl,1
CCCN(CCC)CCC1:C:C:C:C2:C:1CC(=O)N2,1
ClC1:C:C:C2:C(:C:1)C1CNCC1C1:C:C:C:C:C:1O2,1
CN(C)CCC=C1C2:C:C:C:C:C:2CCC2:C:C:C:C:C:21,1
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSC3:N:C(=O):C(=O):[NH]:N:3C)CS[C@H]12)C1:C:S:C(N):N:1,1
C1:C:C:C(NCCCOC2:C:C:C:C(CN3CCCCC3):C:2):N:C:1,1
CC1:C:C:C:C2:C:1OC1:C:C:C:C:C:1C1(O)CCNCC21,1
O=[N+]([O-])C1=CC=NC1NCCSCC1:N:C:C:C:C:1Br,1
COC1:C:C2:C(:C(OC):C:1OC)C1:C:C:C(OC):C(=O):C:C:1C(NC(C)=O)CC2,1
OCCCOC1:C:C:C:C(CN2CCCCC2):C:1,1
CC1:N:C:S:C:1CCCl,1
CCN(CC)C(=O)NC1:C:C:C(OCC(O)CNC(C)(C)C):C(C(C)=O):C:1,1
FC(F)(F)CCl,1
CC(C)C1:N:C(C2:N:C:N3:C:2CN(C)C(=O)C2:C(Cl):C:C:C:C:23):N:O:1,1
CO[C@@]1(NC(=O)CC2:C:C:C:S:2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,1
C=CCC(N)C1:C:C:C:C:C:1C1:N:O:C2:C:C:C:C:C:1:2,1
CC1:N:C2:N(:C(=O):C:1CCN1CCC(C3:N:O:C4:C:C(F):C:C:C:3:4)CC1)CCCC2O,1
CC(=O)NC1:C:C:C(O):C:C:1,1
CC(=O)OC1:C:C:C:C:C:1C(=O)O,0
O=C1:N:C:N:C2:[NH]:[NH]:C:C:12,0
CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,0
CN1:C(=O):C2:[NH]:C:N:C:2:N(C):C:1=O.CN1:C(=O):C2:[NH]:C:N:C:2:N(C):C:1=O.NCCN,0
CCCCC1:O:C2:C:C:C:C:C:2:C:1C(=O)C1:C:C(I):C(OCCN(CC)CC):C(I):C:1,0
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3:C:C:C(O):C:C:3)C(=O)N2[C@H]1C(=O)O.O.O.O,0
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3:C:C:C:C:C:3)C(=O)N2[C@H]1C(=O)O,0
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,0
FC(F)(F)C1:C:C:C2:C(:C:1)N(CCCN1CCN(CCC3OCCCO3)CC1)C1:C:C:C:C:C:1S2.O=C(O)CCC(=O)O,1
O=C1NC2:C:C:C(Cl):C:C:2C(C2:C:C:C:C:C:2)=NC1O,1
O=C1:[NH]:C2:C:C:C:C:C:2:N:1C1CCN(CCOC2:C:C:C:C:C:2)CC1,1
COC1:C:C:C2:C3:C:1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,1
CN1CC[C@]23C4:C5:C:C:C(O):C:4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,1
CN1CCCC(CN2C3:C:C:C:C:C:3SC3:C:C:C:C:C:32)C1,1
NC1=NC(=O)C(C2:C:C:C:C:C:2)O1,1
CC(C)=CCN1CC[C@@]2(C)C3:C:C(O):C:C:C:3C[C@@H]1[C@H]2C,1
CCC1:C:C(C(N)=S):C:C:N:1,1
COC1:C:C([C@@H]2C3:C:C4:C(:C:C:3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)C3COC(=O)[C@@H]32)OCO4):C:C(OC):C:1O,0
NC(N)=NC1:N:C(CSCCC(N)=NS(N)(=O)=O):C:S:1,1
OC(CN1:C:N:C:N:1)(CN1:C:N:C:N:1)C1:C:C:C(F):C:C:1F,1
O=C([O-])P(=O)([O-])[O-].[Na+].[Na+].[Na+],1
NCC1(CC(=O)O)CCCCC1,1
CCOC1:C:C:C2:C:C:C:C:C:2:C:1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)[O-])C(C)(C)S[C@H]12.[Na+],0
CCN1:C:C(C(=O)O):C(=O):C2:C:C:C(C):N:C:2:1,0
CC1:C(O):C:C:C:C:1C(=O)N[C@@H](CSC1:C:C:C:C:C:1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,0
COC1:C:C:C(CCN2CCC(NC3:N:C4:C:C:C:C:C:4:N:3CC3:C:C:C(F):C:C:3)CC2):C:C:1,0
CN1C2CCC1CC(OC(=O)C(CO)C1:C:C:C:C:C:1)C2,0
CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)C4:C(O):C:C:C(Cl):C:4[C@@](C)(O)[C@H]3C[C@@H]12.[Cl-].[H+],0
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0
CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)C3:C:C:C:C:C:3)C(=O)N2[C@H]1C(=O)O,0
C[C@@](CC1:C:C:C(O):C(O):C:1)(NN)C(=O)O,0
CC(C)(C)NCC(O)COC1:C:C:C:C2:C:1CCC(=O)N2,0
CC1:N:N:C(SCC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)CN4:C:N:N:N:4)[C@H]3SC2):S:1.[Na+],0
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CSC3:C:C:N:C:C:3)[C@H]2SC1,0
O=C(O)CCCC1:C:C:C(N(CCCl)CCCl):C:C:1,0
CCCN1C[C@H](CSC)C[C@@H]2C3:C:C:C:C4:[NH]:C:C(:C:3:4)C[C@H]21,1
CN1CCN(C2=NC3:C:C:C:C:C:3CC3:C:C:C:C:C:32)CC1,1
OCCN1CCN(CCCN2C3:C:C:C:C:C:3SC3:C:C:C(Cl):C:C:32)CC1,1
CCOC(=O)C1(C2:C:C:C:C:C:2)CCN(C)CC1,1
C1:C:C:C(C2(N3CCCCC3)CCCCC2):C:C:1,1
NNCCC1:C:C:C:C:C:1.O=S(=O)(O)O,1
CCC1(C2:C:C:C:C:C:2)C(=O)NC(=O)NC1=O,1
NC(=O)OCCCC1:C:C:C:C:C:1,1
CNC(=O)OC1:C:C:C2:C(:C:1)[C@]1(C)CCN(C)[C@@H]1N2C,1
NCC(O)C1:C:C:C(O):C(O):C:1,0
COC1:C:C:C2:N:C(S(=O)CC3:N:C:C(C):C(OC):C:3C):[NH]:C:2:C:1,0
CC1:O:N:C(C2:C:C:C:C:C:2):C:1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,0
OC[C@H]1O[C@@H](N2:C:N:C3:C:2NC=NC[C@H]3O)C[C@@H]1O,1
CC1(C)S[C@@H]2[C@H](NC(=O)COC3:C:C:C:C:C:3)C(=O)N2[C@H]1C(=O)[O-],0
O=C(NC(CO)C(O)C1:C:C:C([N+](=O)[O-]):C:C:1)C(Cl)Cl,0
NS(=O)(=O)C1:C:C2:C(:C:C:1Cl)NC=NS2(=O)=O,0
CCCNC(=O)NS(=O)(=O)C1:C:C:C(Cl):C:C:1,0
CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)C4:C(O):C:C:C(Cl):C:4[C@@](C)(O)[C@H]3C[C@@H]12,0
NS(=O)(=O)C1:C:C(C2(O)NC(=O)C3:C:C:C:C:C:32):C:C:C:1Cl,0
CCOC(=O)C(C)(C)OC1:C:C:C(Cl):C:C:1,0
CC(C)(OC1:C:C:C(Cl):C:C:1)C(=O)O,0
ClC1:C:C:C:C:C:1C(C1:C:C:C:C:C:1)(C1:C:C:C:C:C:1)N1:C:C:N:C:1,0
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,0
C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,0
OCCC1CCN(CC/C=C2\C3:C:C:C(F):C:C:3SC3:C:C:C(C(F)(F)F):C:C:32)CC1,1
O=C1:[NH]:C2:C:C:C:C:C:2:N:1C1CCN(CCCC(C2:C:C:C(F):C:C:2)C2:C:C:C(F):C:C:2)CC1,1
OCCN1CCN(CC/C=C2/C3:C:C:C:C:C:3COC3:C:C:C(Cl):C:C:32)CC1,1
NC(=O)C1(N2CCCCC2)CCN(CCCC(=O)C2:C:C:C(F):C:C:2)CC1,1
O=C1CN=C(C2:C:C:C:C:C:2)C2:C:C(Cl):C:C:C:2N1CC1CC1,1
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,1
CCC1(C2:C:C:C:C:C:2)C(=O)NCNC1=O,1
CCN(CC)CCOC(=O)C1:C:C:C(N):C:C:1,1
OC(CCN1CCCC1)(C1:C:C:C:C:C:1)C1CCCCC1,1
CN(C)CCCN1C2:C:C:C:C:C:2SC2:C:C:C:C:C:21,1
CC(C)NCC(O)COC1:C:C:C:C2:[NH]:C:C:C:1:2,1
CO[C@H](C(=O)[C@@H](O)[C@@H](C)O)[C@@H]1CC2:C:C3:C:C(O[C@H]4C[C@@H](O[C@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@H](O)[C@@H](C)O4):C(C):C(O):C:3:C(O):C:2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@H]3C[C@](C)(O)[C@H](O)[C@@H](C)O3)[C@H](O)[C@@H](C)O2)[C@H](O)[C@@H](C)O1,1
CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,0
O=C(C1CCCCC1)N1CC(=O)N2CCC3:C:C:C:C:C:3C2C1,1
COC1:C:C(CC2:C:N:C(N):N:C:2N):C:C(OC):C:1OC,1
COC1:C:C(NCC2:C:C:C3:N:C(N):N:C(N):C:3:C:2C):C:C(OC):C:1OC,0
NC(CO)(CO)CO,0
NC1[C@@H]2CN(C3:N:C4:C(:C:C:3F):C(=O):C(C(=O)O):C:N:4C3:C:C:C(F):C:C:3F)C[C@H]12,1
NC(N)=O,1
O=C1:C:C:C2:C:C:C:C:C:2:O:1,0
NC1:C:C:C(S(=O)(=O)C2:C:C:C(N):C:C:2):C:C:1,0
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@@]21C,0
O=C1:C(CC2:C(O):O:C3:C:C:C:C:C:3:C:2=O):C(O):O:C2:C:C:C:C:C:1:2,0
CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,0
CC/C(=C(/CC)C1:C:C:C(O):C:C:1)C1:C:C:C(O):C:C:1,0
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6CC[C@]7(C)[C@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,0
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,0
O=C1:[NH]:C2:C:C:C:C:C:2:N:1CCCN1CCC(N2:C(=O):[NH]:C3:C:C(Cl):C:C:C:3:2)CC1,0
CC(CN1C2:C:C:C:C:C:2SC2:C:C:C:C:C:21)N(C)C,1
CCC(=O)C1:C:C:C2:C(:C:1)N(CC(C)N(C)C)C1:C:C:C:C:C:1S2,1
CC(C)C1:C:C:C:C(C(C)C):C:1O,1
CNCCCC1C2:C:C:C:C:C:2C=CC2:C:C:C:C:C:21,1
O=C1:C:C:[NH]:N:C:1,1
FC1:C:C:C:C:C:1C1=NCC(=S)N(CC(F)(F)F)C2:C:C:C(Cl):C:C:21,1
COC(=O)[C@H]1[C@H]2C[C@@H]3C4:[NH]:C5:C:C(OC):C:C:C:5:C:4CCN3C[C@H]2C[C@@H](OC(=O)/C=C/C2:C:C(OC):C(OC):C(OC):C:2)[C@@H]1OC,1
COC(=O)[C@H]1[C@H]2C[C@@H]3C4:[NH]:C5:C:C(OC):C:C:C:5:C:4CCN3C[C@H]2C[C@@H](OC(=O)C2:C:C(OC):C(OC):C(OC):C:2)[C@@H]1OC,1
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,1
O=C1CSC2(CCN(CCCN3C4:C:C:C:C:C:4SC4:C:C:C(Cl):C:C:43)CC2)N1.[Cl-].[H+],1
O=C1C(=O)C2:C:C:C:C:C:2C(O)=C1C1CCC(C2:C:C:C(Cl):C:C:2)CC1,0
O=C(O)CCCCCCCC(=O)O,0
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)C(C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,0
CCC(C)C(N)C1=NC(C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](C(=O)NCCCC[C@@H]2NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](CC3:C:N:C:[NH]:3)NC(=O)[C@@H](CC3:C:C:C:C:C:3)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCCN)NC2=O)[C@@H](C)CC)CS1,0
CC(C[N+](C)(C)C)OC(N)=O.[Cl-],0
CC1:C:C:C(S(=O)(=O)[O-]):C:C:1.CC[N+](C)(C)CC1:C:C:C:C:C:1Br,0
CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4C5:C:C:C:C6:[NH]:C(Br):C(:C:5:6)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,0
CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1CC4:C:C:C(O):C5:C:4[C@@]3(CCN1CC1CC1)[C@H]2O5,1
NCCC1:C:C:C(O):C(O):C:1,0
COC1:C:C:C:C2:C:1C(=O)C1:C(O):C3:C(:C(O):C:1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,0
C[C@H]1C2:C:C:C:C(O):C:2C(O)=C2C(=O)[C@]3(O)C(=O)/C(=C(/N)O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.O,0
CCCCOC1:C:C:C(C(=O)CCN2CCCCC2):C:C:1.[Cl],0
ClC1:C:C:C(COC(CN2:C:C:N:C:2)C2:C:C:C(Cl):C:C:2Cl):C:C:1,0
CC(C)[C@H](NC(=O)[C@H](CC1:C:C:C:C:C:1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)CC1:C:C:C(O):C:C:1)C(N)=O,0
CN[C@@H](C)[C@H](O)C1:C:C:C:C:C:1,0
CNC[C@H](O)C1:C:C:C(O):C(O):C:1,0
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,0
C[C@]12CC[C@@H]3C4:C:C:C(O):C:C:4CC[C@H]3[C@@H]1CC[C@@H]2O,0
NC1:C2:C(:N:C3:C:C:C:C:C:1:3)CCCC2,1
CN1C(=O)C(O)N=C(C2:C:C:C:C:C:2)C2:C:C(Cl):C:C:C:21,1
COC1:C:C2:C(:C:C:1OC)C1CC(=O)C(CC(C)C)CN1CC2,1
CCCCCC1:C:C(O):C2:C(:C:1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,1
COC1=CC=C2[C@H]3CC4:C:C:C(OC):C5:C:4[C@@]2(CCN3C)[C@H]1O5,1
CCSC1:C:C:C2:C(:C:1)N(CCCN1CCN(C)CC1)C1:C:C:C:C:C:1S2,1
CSC1:C:C:C2:C(:C:1)N(CCC1CCCCN1C)C1:C:C:C:C:C:1S2,1
CN1CCN(CC/C=C2\C3:C:C:C:C:C:3SC3:C:C:C(S(=O)(=O)N(C)C):C:C:32)CC1,1
N[C@@H]1C[C@H]1C1:C:C:C:C:C:1.[Cl-].[H+],1
O=C1:N(CCCN2CCN(C3:C:C:C:C(Cl):C:3)CC2):N:C2:C:C:C:C:N:1:2,1
CS(=O)(=O)OCCCCOS(C)(=O)=O,1
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,0
CCN(CC)CCCC(C)NC1:C:C:N:C2:C:C(Cl):C:C:C:1:2,1
COC1:C:C(N):C(Cl):C:C:1C(=O)NC1CCN(CCCOC2:C:C:C(F):C:C:2)CC1OC.O,1
NC1:N:C(Cl):N:C2:C:1:N:C:N:2[C@H]1C[C@H](O)[C@@H](CO)O1,1
C[N+]12CCC(CC1)C(OC(=O)C(O)(C1:C:C:C:C:C:1)C1:C:C:C:C:C:1)C2.[Br-],0
C[C@]12CC[C@@H]3C4:C:C:C(O):C:C:4CC[C@H]3[C@@H]1CCC2=O,0
C=C(CC)C(=O)C1:C:C:C(OCC(=O)O):C(Cl):C:1Cl,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4:C:C(O):C:C:C:4[C@H]3CC[C@@]21C,0
CC(CC1:C:C:C(O):C:C:1)NCC(O)C1:C:C(O):C:C(O):C:1,0
