smiles,true_label,rf_prob,rf_pred,gnn_prob,gnn_pred,rf_error,gnn_error,rf_fp,rf_fn,gnn_fp,gnn_fn,rf_high_conf,gnn_high_conf,disagree,both_high_conf_disagree,mw,logp,tpsa,nhd,nha,nrot,nring,nviol_ro5,qed
CC1:C:N([C@H]2C[C@H](F)[C@@H](CO)O2):C(=O):[NH]:C:1=O,1,0.754,1,0.99312556,1,False,False,False,False,False,False,False,True,False,False,244.22199999999998,-0.53708,84.32,2,4,2,2,0,0.731622172408428
NC1:N:N:C(C2:C:C:C:C(Cl):C:2Cl):C(N):N:1,1,0.576,1,0.98949134,1,False,False,False,False,False,False,False,True,False,False,256.09599999999995,2.0098,90.71,2,5,1,2,0,0.8138095128696987
CCNC(=NC#N)NCCSCC1:N:C:C:C:C:1Br,0,0.612,1,0.09092454,0,True,False,True,False,False,False,False,True,True,False,342.266,2.11348,73.1,2,4,6,1,0,0.35854531958802816
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,1,0.694,1,0.51589346,1,False,False,False,False,False,False,False,False,False,False,226.276,1.1849999999999998,75.27000000000001,2,3,4,1,0,0.7067836690245719
CCOC(=O)C1:C:N:C:N:1C(C)C1:C:C:C:C:C:1,1,0.82,1,0.99173087,1,False,False,False,False,False,False,False,True,False,False,244.294,2.669100000000001,44.12,0,3,4,2,0,0.776550261358108
CC(=O)NC1:C:C:C:C(C2:C:S:C(N=C(N)N):N:2):C:1,0,0.694,1,0.92727286,1,True,True,True,False,True,False,False,True,False,False,275.337,1.6733999999999998,106.39,3,4,3,2,0,0.5847644067795098
NC(N)=NC1:N:C(C2:C:C:C:C:C:2):C:S:1,1,0.594,1,0.9755323,1,False,False,False,False,False,False,False,True,False,False,218.28500000000003,1.715,77.29,2,3,2,2,0,0.5947558314111202
CN1:N:N:N:C:1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)C3:C:C:C:C:C:3)[C@H]2SC1,1,0.008,0,0.004960395,0,True,True,False,True,False,True,True,True,False,False,462.5130000000001,-0.2255999999999989,150.54,3,9,7,4,0,0.3718879665023989
CN(C)CCC1:C:C:C:C:N:1,1,0.828,1,0.9931885,1,False,False,False,False,False,False,False,True,False,False,150.225,1.1857,16.130000000000003,0,2,3,1,0,0.6430190665178422
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)C1:C:C:N:C2:C:C:C(OC):C:C:1:2,1,0.108,0,0.12268601,0,True,True,False,True,False,True,False,False,False,False,324.4240000000001,3.1732000000000014,45.59,1,4,4,5,0,0.8776016184783941
NC(N)=NC1:N:C(C2:C:C:C:C(N):C:2):C:S:1,1,0.594,1,0.8300846,1,False,False,False,False,False,False,False,False,False,False,233.3,1.2972,103.31,3,4,2,2,0,0.4128743875154925
CNC(=NC#N)NC1:C:C:C:C(C2:C:S:C(N=C(N)N):N:2):C:1,0,0.6,1,0.13691454,0,True,False,True,False,False,False,False,False,True,False,314.37800000000004,1.18338,137.5,4,5,3,2,0,0.3811814394273874
CNCCC1:C:C:C:C:N:1,1,0.852,1,0.96335894,1,False,False,False,False,False,False,False,True,False,False,136.19799999999995,0.8434999999999999,24.92,1,2,3,1,0,0.6658018289589026
CN1CC2C3:C:C:C:C:C:3OC3:C:C:C(Cl):C:C:3C2C1,1,0.99,1,0.99969554,1,False,False,False,False,False,False,True,True,False,False,285.77400000000006,4.258500000000003,12.47,0,2,0,4,0,0.7170507116408826
CN(C)CC1:C:C:C(CSCCNC2N=CC=C2[N+](=O)[O-]):O:1,0,0.612,1,0.9027228,1,True,True,True,False,True,False,False,True,False,False,324.40600000000006,1.7351,83.91,1,7,9,2,0,0.4230201587513691
ClC1:C:C:C2:C(:C:1)C1CNCC1C1:C:C:C:C:C:1O2,1,0.984,1,0.99906033,1,False,False,False,False,False,False,True,True,False,False,271.747,3.9163000000000023,21.259999999999998,1,2,0,4,0,0.784208208938289
CC1:N:C2:N(:C(=O):C:1CCN1CCC(C3:N:O:C4:C:C(F):C:C:C:3:4)CC1)CCCC2O,1,0.76,1,0.9997819,1,False,False,False,False,False,False,False,True,False,False,426.49200000000025,3.081320000000002,84.39,1,6,4,5,0,0.6902887957170617
O=C1NC2:C:C:C(Cl):C:C:2C(C2:C:C:C:C:C:2)=NC1O,1,0.842,1,0.3723094,0,False,True,False,False,False,True,False,False,True,False,286.718,2.4479,61.69,2,3,1,3,0,0.84572924577293
NC1=NC(=O)C(C2:C:C:C:C:C:2)O1,1,0.892,1,0.98339486,1,False,False,False,False,False,False,False,True,False,False,176.17499999999998,0.5992000000000001,64.67999999999999,1,3,1,2,0,0.6809458251088376
CCC1:C:C(C(N)=S):C:C:N:1,1,0.812,1,0.97678465,1,False,False,False,False,False,False,False,True,False,False,166.24900000000002,1.2782,38.91,1,2,2,1,0,0.6725460532160716
COC1:C:C([C@@H]2C3:C:C4:C(:C:C:3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)C3COC(=O)[C@@H]32)OCO4):C:C(OC):C:1O,0,0.21,0,0.27376434,0,False,False,False,False,False,False,False,False,False,False,588.5620000000004,1.3385999999999993,160.83,3,13,5,7,2,0.4298292584463983
OC(CN1:C:N:C:N:1)(CN1:C:N:C:N:1)C1:C:C:C(F):C:C:1F,1,0.612,1,0.46161103,0,False,True,False,False,False,True,False,False,True,False,306.276,0.7357999999999993,81.64999999999999,1,5,5,3,0,0.7515159753061997
COC1:C:C:C(CCN2CCC(NC3:N:C4:C:C:C:C:C:4:N:3CC3:C:C:C(F):C:C:3)CC2):C:C:1,0,0.752,1,0.92767674,1,True,True,True,False,True,False,False,True,False,False,458.58100000000024,5.351300000000005,42.32,1,4,8,5,1,0.3864771407563315
CC(C)(C)NCC(O)COC1:C:C:C:C2:C:1CCC(=O)N2,0,0.676,1,0.8430405,1,True,True,True,False,True,False,False,False,False,False,292.37899999999996,1.6990999999999998,70.58999999999999,3,4,5,2,0,0.7723075202218123
CN1CCN(C2=NC3:C:C:C:C:C:3CC3:C:C:C:C:C:32)CC1,1,0.976,1,0.99972826,1,False,False,False,False,False,False,True,True,False,False,291.3980000000001,2.916500000000001,18.84,0,3,0,4,0,0.7430194240185352
CCOC(=O)C1(C2:C:C:C:C:C:2)CCN(C)CC1,1,0.886,1,0.9998104,1,False,False,False,False,False,False,False,True,False,False,247.33799999999994,2.2131,29.54,0,3,3,2,0,0.7669944339918414
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,1,0.66,1,0.0073760306,0,False,True,False,False,False,True,False,True,True,False,318.5010000000001,4.595200000000005,37.3,1,2,1,4,0,0.7672110598231308
COC1:C:C(NCC2:C:C:C3:N:C(N):N:C(N):C:3:C:2C):C:C(OC):C:1OC,0,0.664,1,0.99019974,1,True,True,True,False,True,False,False,True,False,False,369.4250000000001,2.740520000000001,117.54,3,8,6,3,0,0.6069831028443925
O=C1:C(CC2:C(O):O:C3:C:C:C:C:C:3:C:2=O):C(O):O:C2:C:C:C:C:C:1:2,0,0.372,0,0.077180825,0,False,False,False,False,False,False,False,True,False,False,336.2990000000001,2.9014000000000006,100.88,2,6,2,4,0,0.5835736700797656
CC/C(=C(/CC)C1:C:C:C(O):C:C:1)C1:C:C:C(O):C:C:1,0,0.522,1,0.48448434,0,True,False,True,False,False,False,False,False,True,False,268.356,4.828600000000005,40.46,2,2,4,2,0,0.7796984854737203
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,1,0.814,1,0.7476125,1,False,False,False,False,False,False,False,False,False,False,238.28699999999998,1.3510999999999997,75.27000000000001,2,3,5,1,0,0.5604883600608829
O=C1CSC2(CCN(CCCN3C4:C:C:C:C:C:4SC4:C:C:C(Cl):C:C:43)CC2)N1.[Cl-].[H+],1,0.842,1,0.999987,1,False,False,False,False,False,False,False,True,False,False,482.5020000000001,2.1044,35.580000000000005,1,5,4,5,0,0.7226994834015644
ClC1:C:C:C(COC(CN2:C:C:N:C:2)C2:C:C:C(Cl):C:C:2Cl):C:C:1,0,0.864,1,0.80948704,1,True,True,True,False,True,False,False,False,False,False,381.69000000000005,5.801400000000003,27.05,0,2,6,3,1,0.5391871956552778
C[C@]12CC[C@@H]3C4:C:C:C(O):C:C:4CC[C@H]3[C@@H]1CC[C@@H]2O,0,0.464,0,0.01744827,0,False,False,False,False,False,False,False,True,False,False,272.3879999999999,3.6092000000000026,40.46,2,2,0,4,0,0.757169743555686
CN1C(=O)C(O)N=C(C2:C:C:C:C:C:2)C2:C:C(Cl):C:C:C:21,1,0.85,1,0.6590566,1,False,False,False,False,False,False,False,False,False,False,300.74500000000006,2.4722,52.900000000000006,1,3,1,3,0,0.879421465403288
