index,model,error_type,true,rf_prob,gnn_prob,smiles,MW,logP,TPSA,HBD,HBA,nRotB,nHetero,nRing,FractionCSP3
2,RF,FP,0,0.612,0.09092454,CCNC(=NC#N)NCCSCC1:N:C:C:C:C:1Br,342.266,2.11348,73.1,2.0,4.0,6.0,7.0,1.0,0.4166666666666667
5,RF,FP,0,0.694,0.92727286,CC(=O)NC1:C:C:C:C(C2:C:S:C(N=C(N)N):N:2):C:1,275.337,1.6733999999999998,106.39,3.0,4.0,3.0,7.0,2.0,0.08333333333333333
11,RF,FP,0,0.6,0.13691454,CNC(=NC#N)NC1:C:C:C:C(C2:C:S:C(N=C(N)N):N:2):C:1,314.37800000000004,1.18338,137.5,4.0,5.0,3.0,9.0,2.0,0.07692307692307693
14,RF,FP,0,0.612,0.9027228,CN(C)CC1:C:C:C(CSCCNC2N=CC=C2[N+](=O)[O-]):O:1,324.40600000000006,1.7351,83.91,1.0,7.0,9.0,8.0,2.0,0.5
22,RF,FP,0,0.752,0.92767674,COC1:C:C:C(CCN2CCC(NC3:N:C4:C:C:C:C:C:4:N:3CC3:C:C:C(F):C:C:3)CC2):C:C:1,458.58100000000024,5.351300000000005,42.32,1.0,4.0,8.0,6.0,5.0,0.32142857142857145
23,RF,FP,0,0.676,0.8430405,CC(C)(C)NCC(O)COC1:C:C:C:C2:C:1CCC(=O)N2,292.37899999999996,1.6990999999999998,70.58999999999999,3.0,4.0,5.0,5.0,2.0,0.5625
27,RF,FP,0,0.664,0.99019974,COC1:C:C(NCC2:C:C:C3:N:C(N):N:C(N):C:3:C:2C):C:C(OC):C:1OC,369.4250000000001,2.740520000000001,117.54,3.0,8.0,6.0,8.0,3.0,0.2631578947368421
29,RF,FP,0,0.522,0.48448434,CC/C(=C(/CC)C1:C:C:C(O):C:C:1)C1:C:C:C(O):C:C:1,268.356,4.828600000000005,40.46,2.0,2.0,4.0,2.0,2.0,0.2222222222222222
32,RF,FP,0,0.864,0.80948704,ClC1:C:C:C(COC(CN2:C:C:N:C:2)C2:C:C:C(Cl):C:C:2Cl):C:C:1,381.69000000000005,5.801400000000003,27.05,0.0,2.0,6.0,6.0,3.0,0.16666666666666666
36,RF,FP,0,0.63,0.54547477,O=C1:[NH]:C(=O):N([C@H]2C[C@H](O)[C@@H](CO)O2):C:C:1F,246.194,-1.6836,104.55000000000001,3.0,5.0,2.0,8.0,2.0,0.5555555555555556
37,RF,FP,0,0.546,0.6555737,NC1:N:C(=O):C2:N:C:N(COC(CO)CO):C:2:[NH]:1,255.23399999999998,-1.970899999999999,139.28000000000003,4.0,7.0,5.0,9.0,2.0,0.4444444444444444
40,RF,FP,0,0.686,0.9978847,NNC1:N:N:C:C2:C:C:C:C:C:1:2,160.17999999999998,0.9153999999999998,63.83,2.0,4.0,1.0,4.0,2.0,0.0
43,RF,FP,0,0.83,0.994311,NNC(=O)C1:C:C:N:C:C:1,137.142,-0.3149000000000006,68.00999999999999,2.0,3.0,1.0,4.0,1.0,0.0
44,RF,FP,0,0.594,0.9995265,CC(C)[N+](C)(CCOC(=O)C1C2:C:C:C:C:C:2OC2:C:C:C:C:C:21)C(C)C.[Br-],448.4010000000001,1.7348,35.53,0.0,3.0,6.0,5.0,3.0,0.43478260869565216
46,RF,FP,0,0.588,0.023259522,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4:C:C(OC):C:C:C:4[C@H]3CC[C@@]21C,310.4370000000001,3.915600000000003,29.46,1.0,2.0,1.0,2.0,4.0,0.6190476190476191
