feature,importance
TPSA,0.022833406575767788
NumHDonors,0.01750903044942809
VSA_EState3,0.01608625347340418
NumHeteroatoms,0.015022396220998985
MaxAbsPartialCharge,0.014224490468085316
EState_VSA1,0.013876824704489466
SMR_VSA1,0.01353622833665845
PEOE_VSA1,0.013477647566583728
NHOHCount,0.013409935237877951
MinPartialCharge,0.013295322524831411
EState_VSA10,0.013218611587827549
NOCount,0.012983346799153066
VSA_EState5,0.01122354262981583
NumHAcceptors,0.011055319345688784
PEOE_VSA10,0.010996395062277153
SlogP_VSA2,0.010954386626995237
qed,0.010134487039113316
MinEStateIndex,0.010064103266218725
MolLogP,0.008623536836086474
BCUT2D_MRLOW,0.007596446966325983
BCUT2D_CHGLO,0.007483733602300357
BCUT2D_CHGHI,0.00746600995544748
HeavyAtomMolWt,0.00716981766707856
MolWt,0.006921146986700847
VSA_EState2,0.0068582560483742665
LabuteASA,0.006811234652843207
BertzCT,0.006786707880138677
SPS,0.006671485799515433
HallKierAlpha,0.006523302868358656
fr_lactam,0.006341343523086447
BCUT2D_LOGPLOW,0.006264993078485234
fr_COO2,0.006101509501465279
Phi,0.006070294445921018
PEOE_VSA9,0.0059724565727726185
MaxEStateIndex,0.0058078164995259895
MaxPartialCharge,0.005776116954871286
Kappa1,0.005671560974877458
ExactMolWt,0.0056009874734621965
Kappa2,0.0055525541516519596
VSA_EState6,0.0054371444117293204
NumAtomStereoCenters,0.005435682635843947
MinAbsPartialCharge,0.005399149228550019
fr_COO,0.005319220368867131
BCUT2D_LOGPHI,0.00531051505001515
EState_VSA2,0.005258243331612448
Chi1,0.005209918805781786
MaxAbsEStateIndex,0.005191641091160267
Chi1v,0.005180515773427006
VSA_EState7,0.005129462890789161
Chi3v,0.005025506451515007
Kappa3,0.005018323048100204
BCUT2D_MWLOW,0.004933434228359946
SlogP_VSA3,0.004919280102935622
SMR_VSA10,0.004911298601256437
Chi2v,0.0049017940015573715
NumValenceElectrons,0.00477114830085615
Chi4v,0.004677521429487394
SMR_VSA3,0.004674093713008738
BCUT2D_MWHI,0.004673830814132199
VSA_EState4,0.004623904004553376
Chi3n,0.004575278069436959
MolMR,0.004490439746433728
BalabanJ,0.004452225270285888
PEOE_VSA7,0.004450261036590153
FractionCSP3,0.004399355191531302
Chi0n,0.004309087801383139
Chi0,0.004288867811149413
EState_VSA8,0.0042705788846273355
SlogP_VSA1,0.0042506042520263345
Chi0v,0.004223502918805796
MinAbsEStateIndex,0.004197961297841125
Chi2n,0.00416028192012296
BCUT2D_MRHI,0.004110309818077236
PEOE_VSA6,0.0040523440220860095
Chi4n,0.003949072209767556
HeavyAtomCount,0.0038642081232996197
VSA_EState8,0.003855518648113361
FpDensityMorgan3,0.0037617414338660176
PEOE_VSA8,0.003755874290479684
FpDensityMorgan1,0.0036734214781078776
EState_VSA4,0.003652245535474864
morgan_bit_807,0.003623542782194876
Chi1n,0.0036023190893455007
SMR_VSA5,0.003496729136213013
AvgIpc,0.0034873808120322097
VSA_EState1,0.003454557489886891
SlogP_VSA5,0.003297993103811767
NumAliphaticHeterocycles,0.003268057265825317
PEOE_VSA3,0.0032429739103952407
fr_Al_OH,0.003220305724291068
SMR_VSA7,0.0031798314514660626
FpDensityMorgan2,0.003128118606370826
SMR_VSA6,0.003114809412299657
fr_C_O,0.0031064979786002713
fr_Al_COO,0.0030913569871400355
EState_VSA5,0.0030847394817329825
SlogP_VSA10,0.0030370340519451505
NumRotatableBonds,0.00302878573965449
SlogP_VSA6,0.00298401881254597
EState_VSA3,0.002976821392211703
PEOE_VSA2,0.0029659054497128594
NumUnspecifiedAtomStereoCenters,0.0027294498283707653
NumHeterocycles,0.002705681956673417
VSA_EState9,0.0026978067197414696
fr_Al_OH_noTert,0.0026724314489276237
NumAliphaticRings,0.0026512374999021807
EState_VSA9,0.0025979851621514807
EState_VSA6,0.0025572819509390157
morgan_bit_5,0.002533326505547193
EState_VSA7,0.002518347053205942
morgan_bit_233,0.002507613592812428
NumSaturatedHeterocycles,0.0024646934839238454
fr_NH1,0.002386765269756776
PEOE_VSA12,0.0023391514591131874
SMR_VSA4,0.002334124905572883
NumAmideBonds,0.0023075354947852877
fr_amide,0.0022765032188647233
NumAliphaticCarbocycles,0.0022698508565833714
PEOE_VSA14,0.0022445969544647483
PEOE_VSA5,0.0021742079217289406
morgan_bit_456,0.0020839179020696315
fr_bicyclic,0.002055528081465063
SMR_VSA9,0.0020043869870937495
fr_C_O_noCOO,0.0020011007019943346
morgan_bit_1152,0.0019401769851927638
SlogP_VSA4,0.0018358841271026317
fr_sulfide,0.0018078659893425238
morgan_bit_387,0.0017667287109718116
PEOE_VSA11,0.0017615282282235013
RingCount,0.0017280722150473408
SlogP_VSA11,0.0016524466466917296
SlogP_VSA12,0.001640879567195687
fr_alkyl_halide,0.0016334971083787684
morgan_bit_1928,0.0015946761187476584
morgan_bit_1791,0.0015697925989335928
fr_NH0,0.001504269634221501
fr_Ar_N,0.0015037635829939276
fr_ether,0.0014978176308270725
NumSaturatedRings,0.0014969929583402285
fr_NH2,0.001452471173917559
VSA_EState10,0.0014388179522757257
morgan_bit_1145,0.0014327464823496539
PEOE_VSA13,0.0014320085958507145
fr_halogen,0.0014002598813343842
fr_phenol,0.0013818882669485455
fr_Ar_OH,0.0013552361540146718
NumSaturatedCarbocycles,0.0013551877187247398
NumAromaticRings,0.001336003672659187
morgan_bit_1183,0.001333928350643452
morgan_bit_1480,0.0012701199783633791
morgan_bit_926,0.0012621449870198363
morgan_bit_1602,0.0012598734160423025
fr_phenol_noOrthoHbond,0.0012215458158726985
morgan_bit_935,0.0012091997761313092
morgan_bit_1279,0.0011552805655695654
SlogP_VSA8,0.00114997672947928
fr_piperdine,0.0011278817255340097
fr_allylic_oxid,0.0011262206379448185
morgan_bit_673,0.0010817411978572954
fr_Ndealkylation2,0.0010800069855114558
morgan_bit_1,0.0010432906536603354
morgan_bit_1635,0.0010430092932155856
fr_benzene,0.0010407666822400343
NumAromaticHeterocycles,0.0010389365479534104
morgan_bit_84,0.0010195322741722455
morgan_bit_1171,0.0010110045423571284
morgan_bit_967,0.0010018307050722128
morgan_bit_1365,0.0009976465102518582
NumAromaticCarbocycles,0.0009713917856909452
morgan_bit_389,0.0009652048418495097
morgan_bit_622,0.0009632629406245148
morgan_bit_519,0.000962939419275669
morgan_bit_1047,0.0009530567271953704
fr_ketone,0.0009424400190353666
morgan_bit_1997,0.0009376418725038405
morgan_bit_1295,0.0009369613674232928
morgan_bit_1917,0.0009197416022371088
fr_Ar_COO,0.0009032973750168914
morgan_bit_1436,0.0008974981672517659
PEOE_VSA4,0.0008836014715221449
morgan_bit_1300,0.0008659923177237828
morgan_bit_573,0.000863577845489757
morgan_bit_408,0.0008536601697255563
fr_pyridine,0.000848800841436468
morgan_bit_675,0.0008223113204185639
morgan_bit_650,0.0008155015783038153
morgan_bit_588,0.0008102394664076349
morgan_bit_227,0.0007963044187474856
morgan_bit_1199,0.0007858007548576395
morgan_bit_1943,0.0007839386202003748
morgan_bit_87,0.0007838467348013248
morgan_bit_1019,0.0007790609927909846
morgan_bit_242,0.0007676053054508182
morgan_bit_1088,0.0007668409763595496
fr_imidazole,0.0007621761197045927
morgan_bit_1482,0.0007579321671807793
morgan_bit_1754,0.0007259987625529872
morgan_bit_1452,0.0007210867360257116
fr_Ar_NH,0.0007203619727247612
morgan_bit_314,0.0007183967771616164
morgan_bit_1778,0.000706144956685401
morgan_bit_787,0.0006925228314922366
fr_aniline,0.0006821823921019901
morgan_bit_529,0.0006783671413740671
morgan_bit_695,0.0006778034384889868
morgan_bit_182,0.0006585587526377611
morgan_bit_222,0.0006574239024490729
morgan_bit_1431,0.0006429213812191414
fr_Nhpyrrole,0.0006322276561275738
morgan_bit_1149,0.000630585723764026
morgan_bit_1750,0.0006301829432732213
morgan_bit_310,0.0006283800580590364
morgan_bit_1487,0.0006275631144033312
morgan_bit_1257,0.0006214617800287031
morgan_bit_331,0.0006200805343474954
morgan_bit_1738,0.0006154604138037962
fr_HOCCN,0.0006154258146457526
morgan_bit_781,0.0006143863618996531
fr_imide,0.000605670505480472
morgan_bit_1950,0.0006046758872145936
morgan_bit_745,0.0006013797781001181
morgan_bit_753,0.0005977579267582243
morgan_bit_80,0.0005967275596361588
morgan_bit_1057,0.0005854650478896984
morgan_bit_656,0.0005850539129461863
morgan_bit_1162,0.0005719696279351141
morgan_bit_875,0.0005717013652054749
morgan_bit_1060,0.0005685256130023481
morgan_bit_1911,0.0005672174908774425
morgan_bit_1325,0.000566463361385144
morgan_bit_504,0.000564826203173927
fr_piperzine,0.0005622751006295599
morgan_bit_77,0.000556331959285936
morgan_bit_18,0.0005448979379290853
morgan_bit_697,0.0005446844349242191
morgan_bit_147,0.0005425647098323837
morgan_bit_1476,0.0005422088158676952
morgan_bit_525,0.0005412061989347634
